taxi_id,trip_start_timestamp,trip_end_timestamp,prev_break
1bff274ed006935422e0042a5b4ba149e8ea9d59666cd647324d89a22338e334de8dfe2724ee6ab986c8c6d5fcf3a277586d322b0b8aa9de771590730c4c168e,2019-05-01 15:00:00 UTC,2019-05-01 15:00:00 UTC,15
1bff274ed006935422e0042a5b4ba149e8ea9d59666cd647324d89a22338e334de8dfe2724ee6ab986c8c6d5fcf3a277586d322b0b8aa9de771590730c4c168e,2019-05-01 15:30:00 UTC,2019-05-01 16:15:00 UTC,30
1bff274ed006935422e0042a5b4ba149e8ea9d59666cd647324d89a22338e334de8dfe2724ee6ab986c8c6d5fcf3a277586d322b0b8aa9de771590730c4c168e,2019-05-01 16:30:00 UTC,2019-05-01 17:15:00 UTC,15
1bff274ed006935422e0042a5b4ba149e8ea9d59666cd647324d89a22338e334de8dfe2724ee6ab986c8c6d5fcf3a277586d322b0b8aa9de771590730c4c168e,2019-05-01 18:15:00 UTC,2019-05-01 18:30:00 UTC,60
1bff274ed006935422e0042a5b4ba149e8ea9d59666cd647324d89a22338e334de8dfe2724ee6ab986c8c6d5fcf3a277586d322b0b8aa9de771590730c4c168e,2019-05-01 18:30:00 UTC,2019-05-01 18:45:00 UTC,0
1bff274ed006935422e0042a5b4ba149e8ea9d59666cd647324d89a22338e334de8dfe2724ee6ab986c8c6d5fcf3a277586d322b0b8aa9de771590730c4c168e,2019-05-01 18:45:00 UTC,2019-05-01 19:00:00 UTC,0
1bff274ed006935422e0042a5b4ba149e8ea9d59666cd647324d89a22338e334de8dfe2724ee6ab986c8c6d5fcf3a277586d322b0b8aa9de771590730c4c168e,2019-05-01 19:15:00 UTC,2019-05-01 19:30:00 UTC,15
1bff274ed006935422e0042a5b4ba149e8ea9d59666cd647324d89a22338e334de8dfe2724ee6ab986c8c6d5fcf3a277586d322b0b8aa9de771590730c4c168e,2019-05-01 19:30:00 UTC,2019-05-01 19:45:00 UTC,0
1bff274ed006935422e0042a5b4ba149e8ea9d59666cd647324d89a22338e334de8dfe2724ee6ab986c8c6d5fcf3a277586d322b0b8aa9de771590730c4c168e,2019-05-01 20:00:00 UTC,2019-05-01 20:00:00 UTC,15
1bff274ed006935422e0042a5b4ba149e8ea9d59666cd647324d89a22338e334de8dfe2724ee6ab986c8c6d5fcf3a277586d322b0b8aa9de771590730c4c168e,2019-05-01 20:15:00 UTC,2019-05-01 20:15:00 UTC,15
1bff274ed006935422e0042a5b4ba149e8ea9d59666cd647324d89a22338e334de8dfe2724ee6ab986c8c6d5fcf3a277586d322b0b8aa9de771590730c4c168e,2019-05-01 20:30:00 UTC,2019-05-01 20:30:00 UTC,15
1bff274ed006935422e0042a5b4ba149e8ea9d59666cd647324d89a22338e334de8dfe2724ee6ab986c8c6d5fcf3a277586d322b0b8aa9de771590730c4c168e,2019-05-01 21:00:00 UTC,2019-05-01 21:00:00 UTC,30
1bff274ed006935422e0042a5b4ba149e8ea9d59666cd647324d89a22338e334de8dfe2724ee6ab986c8c6d5fcf3a277586d322b0b8aa9de771590730c4c168e,2019-05-01 21:15:00 UTC,2019-05-01 21:15:00 UTC,15
